WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,LandVisibility,RelativeHumidity,VaporPressure,Rainfall,AirTemperature,WindSpeed,Rainfall24Hr,MeanSeaLevelPressure,StationPressure,MaximumTemperature,WindDirection
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.4,07-08-2019,19:00:00,10.00,89,30.51,0.00,26.4,0.0,0.00,1009.25,1007.63,34.0,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.5,07-08-2019,19:00:00,10.00,76,29.03,0.00,28.2,0.0,0.00,1009.26,1005.79,33.7,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,25.6,07-08-2019,19:00:00,8.00,89,32.84,0.00,27.6,0.0,2.80,1009.11,1007.76,35.2,000
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,23.9,07-08-2019,19:00:00,10.00,74,29.74,0.00,29.0,0.0,1.30,1008.95,1008.07,32.0,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.3,07-08-2019,19:00:00,10.00,75,28.57,0.00,28.1,0.0,0.00,1009.42,1005.87,33.0,000
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,23.7,07-08-2019,19:00:00,10.00,69,29.39,0.00,30.1,5.6,0.00,1009.12,1008.69,34.3,290
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.7,07-08-2019,19:00:00,10.00,69,29.39,0.00,30.1,7.4,0.00,1008.64,1007.65,32.7,270
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.0,07-08-2019,19:00:00,10.00,72,29.88,0.00,29.5,13.0,0.00,1009.42,1008.61,32.0,260
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,25.6,07-08-2019,19:00:00,10.00,82,32.83,0.00,29.0,0.0,0.00,1009.61,1007.80,34.6,000
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.1,07-08-2019,19:00:00,10.00,85,28.26,8.80,25.9,5.6,8.80,1009.73,1008.98,35.1,140
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.3,07-08-2019,19:00:00,10.00,80,30.28,0.00,28.0,5.6,0.00,1009.82,1005.83,35.2,070
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.2,07-08-2019,19:00:00,10.00,91,30.19,6.40,25.8,0.0,23.80,1010.09,1009.40,33.0,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.8,07-08-2019,19:00:00,10.00,88,29.50,5.40,26.0,0.0,5.40,1010.01,1008.89,35.0,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,22.8,07-08-2019,19:00:00,10.00,72,27.69,6.40,28.2,0.0,6.40,1009.70,1006.79,34.7,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.4,07-08-2019,19:00:00,5.00,97,30.58,13.90,25.0,0.0,29.80,1010.39,1009.69,35.4,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,28.2,07-08-2019,19:00:00,7.00,95,38.18,45.20,29.0,7.4,45.20,1003.33,999.25,34.4,150
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,21.8,07-08-2019,19:00:00,7.00,69,26.10,0.00,27.9,18.5,0.00,1010.11,1009.52,33.6,290
