WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,Rainfall24Hr,WindSpeed,WindDirection,Rainfall,RelativeHumidity,DewPoint,StationPressure,AirTemperature,VaporPressure
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1006.25,08-11-2019,22:00:00,10.00,0.30,7.4,070,0.00,82,24.7,989.58,28.0,31.11
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1006.27,08-11-2019,22:00:00,10.00,2.20,14.8,180,0.00,86,24.2,988.88,26.8,30.18
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1004.08,08-11-2019,22:00:00,9.00,12.60,0.0,000,1.80,96,24.8,978.27,25.5,31.25
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1004.26,08-11-2019,22:00:00,10.00,4.40,0.0,000,2.70,98,25.9,998.47,26.3,33.35
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1003.51,08-11-2019,22:00:00,10.00,1.90,0.0,000,0.00,94,26.4,997.35,27.5,34.36
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1005.12,08-11-2019,22:00:00,10.00,0.60,5.6,230,0.60,90,25.0,988.70,26.7,31.63
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1003.10,08-11-2019,22:00:00,10.00,13.20,3.7,210,0.00,88,23.7,980.79,25.9,29.31
48376,TAK,ตาก,ตาก,16.87833,99.14333,1004.67,08-11-2019,22:00:00,5.00,3.80,0.0,000,0.00,93,25.5,990.32,26.8,32.66
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1004.29,08-11-2019,22:00:00,7.00,3.20,0.0,000,0.00,90,24.5,987.91,26.2,30.67
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1004.87,08-11-2019,22:00:00,10.00,16.00,0.0,000,16.00,95,25.3,999.64,26.2,32.32
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1003.43,08-11-2019,22:00:00,10.00,6.20,0.0,000,0.00,93,25.4,990.27,26.7,32.46
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1004.49,08-11-2019,22:00:00,10.00,0.00,0.0,000,0.00,87,24.5,995.19,27.0,30.83
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1005.20,08-11-2019,22:00:00,10.00,0.20,9.3,180,0.00,81,23.9,983.59,27.5,29.60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1005.12,08-11-2019,22:00:00,10.00,1.70,14.8,220,0.00,81,23.9,987.68,27.5,29.60
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1005.25,08-11-2019,22:00:00,8.00,17.70,3.7,210,15.50,93,24.8,989.39,26.0,31.38
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1004.40,08-11-2019,22:00:00,8.00,4.40,5.6,190,0.00,84,24.3,985.59,27.2,30.39
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1004.81,08-11-2019,22:00:00,5.00,11.80,0.0,000,0.30,94,22.3,953.32,23.4,26.99
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1004.26,08-11-2019,22:00:00,7.00,0.50,0.0,000,0.50,84,24.6,1000.32,27.5,30.97
