WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,StationPressure,RelativeHumidity,WindSpeed,AirTemperature,LandVisibility,Rainfall24Hr,WindDirection,VaporPressure,DewPoint,MeanSeaLevelPressure,Rainfall
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,09-25-2019,16:00:00,996.65,61,7.4,31.7,10.00,0.00,090,28.35,23.2,1012.48,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,09-25-2019,16:00:00,1008.54,56,0.0,33.4,9.00,0.00,000,28.92,23.5,1012.51,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,09-25-2019,16:00:00,1002.14,48,7.4,33.0,9.00,0.00,090,24.01,20.4,1012.66,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,09-25-2019,16:00:00,1010.36,49,3.7,33.3,12.00,0.00,060,24.84,21.0,1012.26,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,09-25-2019,16:00:00,991.60,47,7.4,32.5,10.00,0.00,070,22.84,19.6,1012.19,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,09-25-2019,16:00:00,994.52,60,9.3,31.2,11.00,0.00,080,27.38,22.6,1012.02,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,09-25-2019,16:00:00,995.90,57,9.3,32.6,10.00,0.00,120,28.17,23.0,1011.84,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,09-25-2019,16:00:00,997.82,52,9.3,32.9,10.00,0.00,020,26.25,21.9,1011.65,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,09-25-2019,16:00:00,997.14,60,0.0,32.0,10.00,0.00,000,28.66,23.3,1011.80,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,09-25-2019,16:00:00,997.51,62,13.0,32.3,10.00,0.00,030,29.83,24.0,1012.00,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,09-25-2019,16:00:00,1009.44,49,0.0,33.3,8.00,0.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",24.84,21.0,1012.42,0.00
